nama,id,tweet,driver,aplikasi
Patrick Tehvand,@elSpike,I rate drivers with these a one star every time It is so obnoxious Ive already paid for a ride and you force me to watch a scene 6 from my face  grab gojek GrabSG gojeksgpictwittercomNIMwoPoOFB,1,0
hian goh,@hiangoh,GOJEK IS LIVE IN SINGAPORE Congrats dreampipe openspacevc gojekindonesia gojek,0,0
PurB,@PurbaW,gojek I am with you httpstwittercomgojekindonesiastatus1050933533424799744,0,0
syamooo,@amsyam00,Beta testing gojek lets see how,0,0
Marc Jacobs,@indorover,Sometimes you get what you wish for I was always mentioning that the delivery fees for those poor GoJek drivers was too low Now they have doubled ,1,0
Vikrama Dhiman,@vikramadhiman,Yoohoo It is LIVE4 and a half month with a crossfunctional effort across gojektech offices  precision energy and passion Singapore show us some love gojek singaporehttpswwwstraitstimescomsingaporetransportgojeklaunchesbetaversionofappinsingapore,0,1
Siddiq Hassan ,@DisQid,gojek good fast and affordable pricing,0,0
Jac Cheok,@JacCheok,GOJEKs entry offers Grab a chance to rethink its approach It should hold fast on incentives and price supply and demand that ensure some profit 4 everyone Itd lose share but learn better to operate a business that doesnt live and die by gimmicks httpswwwbloombergcomopinionarticles20181129gojekssingaporeentryshouldpushgrabtorethinkstrategy,0,0
Stacie Chan,@staciechan,Gojek founder NadiemMakarim in a chat at g4id The 3 building blocks of gojektech purpose structure  courage Purpose is what drives you every day Structure is the donation of scaled communication Courage is the prerequisite for risk taking GoogleforIndonesiapictwittercomfau7ZbLsSB,0,0
Ashish Kejriwal,@ashkejriwal,I was at a movie recently with my kids and I absolutely fell in love with GoJek Ads Absolutely brilliant Indonesia,0,0
mayank sagar,@noobydoobydooo,The kind of people I always want to be working with  Requirement for converting sketch layer styles and its attributes to JSON  no solution online  insert Gojek Asphalt Dev team   few hours and now I have a sketch plugin that does exactly that Love it GoJek gojektech,0,0
 ,@APD_17,Antrian handphone pelanggan fixme 13 Desember 2018flash dan root advan i5cunlock bootloader samsung j7 procustom rom lenovo a7010advani5cplus j7pro flashpoin fixme gojek gratis fortnitemobile grabbike service miui10 customrom keren infogadgetpictwittercomC3JIm5Sj7G,0,0
Shweta,@shwetnaren,Just had a delightful GO experience with gojeksg thank you for the priority access singapore gojek Experiences,0,0
Vanessa Quake,@vanessaquake,What a way to end the week  heading home in my first gojek,0,0
Droston,@drostontang,Thanks GoJek pictwittercomSO3kyAz6wy,0,1
Mark Stephen Baigent,@MarkSBaigent,Indonesia the Country where womens dcollets get blurred out on food delivery apps gojek pictwittercom9J2N21e1yz,0,0
Vikrama Dhiman,@vikramadhiman,Singapura  gojek is all set to come near you real soonLot of love and work has gone into this  httpswwwstraitstimescomsingaporetransportindonesianridehailingappgojeklaunchesportalfordriverstopreregisterxtorCS318,1,0
Jo Lee,@joleeqh,Took my 1st GoJek ride and the car body was all decked out with Grab decals,0,0
ETHOZ Group,@ETHOZgroup,EVO  Adding on to the list of ride hailing operators in Singapore GoJek will be launching their services this November Check out this weeks article to find more about GoJek and the other service provider Will GoJek be Grabs next daunting rival httpwwwethozgroupcombloggojekgrabsnextdauntingrivalpictwittercomxaY0p080Ul,0,0
Adit Lal,@aditlal,One more gojek gojektech androiddevhttpswwwlinkedincomfeedupdateurnliactivity6455393280707391488,0,0
Abhisek Das ,@wholetthedasout,Completely forgot to brag about the goodies which I received at DUp2018 A cool conference ID representing ixigo matte sipper bottle trendy goodie bag which has GoJek stickers Lexus Design Award India 2019 files DUp diary stickers cardholder and audiogyan notebookpictwittercomvVw6koZxD6,0,0
AAN IKHYA SEPTIAWAN,@AANIKHYA,Busy terus daritadi please be Quick Dear gojek gojekindonesiapictwittercomgB38eopwLp,0,0
shann  ,@Shannkuu,UninstalGoJek Indonesia is wildin We out here havin a fun and happy time with gojek UNTIL they said they were supporting and hirinh LGBTQ people Unninstal gojek BITCH I NEED SOMEONE TO GO GET MY FOOD FOR MY LAZY ASS pictwittercomTG5ombYlnf,0,0
Dorene,@dmousefly,As a consumer its grrreat to have options  OrderGoCar GoJek pictwittercomH0ck05INno,0,0
Le Franais dailleurs,@FrenchExpat1,Tired of GrabSG playing blind and deaf about the incredible price increase since they killed their competition Uber Glad to see that GoJek is entering Singapore market Competition is always good for the consumers,0,0
vince ong,@vinchie_cebu,Push for GoJek and Angkas legalisation Senator,0,0
Sudhir Tiwari,@SudhirTiwari_,1 out of 3 folks have used the GoJek app in Jakarta at some point in their lives Crystal W AjeyGore TWLiveIn18,0,0
eSiteWorldcom,@esiteworld,Launch your own Business like Gojek in SingaporeLaunch your own business like Gojek in Singapore Check this business success over southeast countries Go for on demand startup digitally httpsbitly2QZPvf3gojek Singapore gojekclone startup business southeast,0,0
Jeffrey Oon,@jeffoon1,GoJek president Andre Soelystio on the ridehailing firmss imminent launch in singapore All of you will have choice soon crowd applause Im a little bit scared because theres a lot of demand SGFinTechFest2018 sff2018 disruptionpictwittercomJGCZBBOP5w,0,0
Marc Jacobs,@indorover,La Trattoria  GOJEK  an irresistible preposition           When everything falls into place like the flick of a switchWell my mama told me Therell be days like this pictwittercommVQ5oHxEJ8,0,0
Bastaman Kusumadewa,@bastamanography,technology by itself in not the disruptor  and i think so true  technology inovation digital startup digitalization netfilx blockbuster movies uber grab gojek transportation apple music amazon marketplace airbnb hotel hospitality tourismpictwittercomaJ5HulhhI7,0,0
Neeta,@gypsynits,Nadiem from GoJek advises young entrepreneurs not to listen to experts focus on the problem and action Google4IDpictwittercom2vKutNLwU5,0,0
Ernz Lim,@ErnzLim,Its here GoJek gojekindonesiapictwittercom8WKj6XZ0eK,0,0
Jac Cheok,@JacCheok,GOJEKs in townSeamless app experience lower fare with Gojek booking httpswwwtodayonlinecomsingaporeseamlessappexperiencelowerfaregojekbookingXACeirdDv8ktwitter via TODAYonline,0,0
SGinvestorsio,@SGinvestors,ComfortDelGro Corporation SGXC52  UOB Kay Hian 20181011 All Quiet On The Taxi Front Shares are currently priced for perfection ComfortDelGro GoJek httpsresearchsginvestorsio201810comfortdelgrocorporationuobkayhianresearch20181011htmlW8BfgrVhRjgtwitter via SGinvestors,0,0
Jenis Jaya Waruwu,@jenisjayawaruwu,Mantul  free delivery  voucher 15rb gofood gojek pictwittercomb7llOKNi5K,0,0
Saptorsi Hore,@saptorsi,Crystal talks about her journey in GoJek building a data driven company Gojek TWLiveIN18,0,0
Vikrama Dhiman,@vikramadhiman,Life is great when you can be with a team at 207 pm and still share the laughs the coffee and the jokes Blessed simba gojek nov29,0,0
Ashlee kaye,@Ashlee_Kaye,Did you know you can open and book GojekGrab through Google maps Why didnt I know this click on the guy with his hand up gojek googlemaps grab,0,0
Anantha Raju C,@anantharajuc,To all the engineering managers When was the last time you allowed your team to  practice gojektech svs include gojek meetuppictwittercomddwg10Pd7a,0,0
Akshay Shinde,@akshay11_shinde,Excitement for our first booking singapore gojek pictwittercomWuFBODUvzo,0,0
Droston,@drostontang,Coincidentally tiled apps on my phoneWelcome GoJek to Singapore Yes Airbnb is mobility Kayak toopictwittercomoI8fOmoWNf,0,0
Shivoo Koteshwar,@shivookoteshwar,Reducing parallelism and increasing concurrency is importantCrystal gojekTWLiveIn18 smithahs thoughtworks,0,0
Anindita Datta,@datta_anindita,You are more motivated to solve the problems that you can see hear and feel  Rajiv  Lauren on Designing Googlemaps for 2 wheelers DUp18 DesignUpConf gojek,0,0
Joji Philip Thomas,@jojiphilip,Set for my first GOJEK ride in Singapore pictwittercomZi40P4NK6a,0,0
Saptorsi Hore,@saptorsi,gojek has organized themselves as information processing teams to scale and build multiple products which leveraged data TWLiveIN18,0,0
Sudhir Tiwari,@SudhirTiwari_,Organizing teams across problem statements  Interesting thought GoJek TWLiveIn18 Crsytal Widjaja,0,0
Shivoo Koteshwar,@shivookoteshwar,Building a data culture is a never ending mission  Crystal GoJekTWLiveIn18 smithahs thoughtworks,0,0
Droston,@drostontang,Cmon GoJek  get onto GoogleMaps quick Maybe Ryde TADA can add more choices and colours ridehailingSG rideshareSGpictwittercomeZXWUfepQN,0,0
Eyerys,@eyeryscom,Gojek arrives to Singapore after numerous launch delays After Uber left the smallcitystate this new Grab challenger has quirks on its ownhttpsgoogl4C7LrxpictwittercomjAkyzKll1g,0,0
JNW Ellis,@jacknwellis,Amid rumors that the pair are discussing a merger GoJek and JD deepen their cooperation on digital payments in Indonesia httpswwwtechinasiacomjdgojekdeepenrelationshipconquerindonesia paywall JD GoJek payments Indonesia,0,0
Glory Burger  Rotibakar,@glory_burger,gloryburger Available on GOFOOD Powered By GOJEKburger newburger atjehkuliner acehkuliner aceh bandaaceh food khasaceh jajanaceh snack tranding foodtrand gofood gojek pictwittercomjXNDyMfwLq,0,0
Transfin,@TFinMedia,WhatsApp To Expand Payment Services Grab to Fund OYO Qatar to Exit OPEC et alClick Link to Read in Full httpstransfininwhatsapptoexpandpaymentservicesgrabtofundoyoqatartoexitopectrumptarriffWhatsApp RBI payment DirectTaxCode Grab OYO GOJEK Unilever GSK Horlicks Qatar OPEC US tariffs US tax America China Transfinpictwittercom4ngGgaHell,0,0
Akshay Shinde,@akshay11_shinde,This is our gocar tonight gojek singapore pictwittercom2Fs9IaToa3,0,0
V3cube,@v3cube,How MultiService Business like Gojek Is Profitablehttpsbitly2E31iXHMultiservice Gojek Profits Business Businessideas Gojekclone Gojekclonescript,0,0
Arsenal4Ever,@PremLovesMusic,Ok Ill go party  GOJEK pictwittercomtZwoDqFVZa,0,0
Akshay Shinde,@akshay11_shinde,We are live in singapore finally gojek for the win  httpsifttt2QtpIiwpictwittercomyvKN5863kb,0,0
Jo Lee,@joleeqh,Yesh I am in GoJek Singapore httpsifttt2DR8wgjpictwittercomFzH1Vw80FG,0,0
Hossan LeongVerified account,@HossanLeong,Im ready GoJek  pictwittercomGoSoDX2d35,0,0
The Business TimesVerified account,@BusinessTimes,GoJek to enter Singapore this week in challenge to GrabSG httpbitly2QuXvb8pictwittercomtAi7Cfzkh6,0,0
London Tower Capital,@LondonTowerCap1,Gojek technology accelerates the growth of small and mediumsized enterprises SMEs in the digital economygojekindonesiagojek gojekindonesia infographic visual jakarta indonesia asia business investment technology digital startup economy growthpictwittercomB7i85yhSwa,0,0
eSiteWorldcom,@esiteworld,How to handle a MultiService Business like GoJekhttpsbitly2Q0tfFVGojek business businesslikegojek multiservice serviceprovider applikegojek businesslikegojek,0,0
