nama,id,tweet,tfindonesia,tfpalembang
Farhan Akbar Muhammad,@akbarfarhan0703,Epilogue 4Happy International Volunteers DayProudVolunteerAG AsianGames2018 EnergyOfAsia  Athletes Village Kemayoran Asian Games 2018 httpswwwinstagramcompBrCdfsSHGQfutmsourceigtwittershareigshid1w9180sfktl21,0,0
World TriathlonVerified account,@worldtriathlon,What a HUGE year 2018 was for Major Triathlon Events GoldCoast2018 commgamesaus AsianGames2018 BuenosAires2018 youtholympics Celebrating the 3 Major Games of 2018 is our next Top 10 ITU Moment of 2018pictwittercomW4nLjfMQtn,0,0
Hanif Muchdatul,@hanif_muchdatul,International Volunteer Day 2018 internationalvolunteerday IVD2018 asiangames2018 volunteer httpswwwinstagramcompBrAmXHBHGOButmsourceigtwittershareigshidxo06eog8lkc7,0,0
Kollywood Cinema,@KollywudCinema,Trendsetters The Most influential Hastags on Twitter1 Sarkar2 metoo 3 KarnatakaElection4 KeralaFloods5 Aadhaar 6 JusticeForAsifa7 DeepVeer8 IPL20189 WhistlePodu 10 AsianGames2018Only Film in Top 10 is Thalapathy Vijay in Sarkar pictwittercomdkZeestuy4,0,0
Indian Boxoffice,@TradeBOC,MOST INFLUENTIAL MOMENTS ON TWITTER IN 2018SarkarMeTooKarnatakaElectionKeralaFloodsAadhaarJusticeForAsifaDeepVeerIPL2018WhistlePoduAsianGames2018,0,0
Cineloverz,@cineloverz,Twitter TrendsettersThe Most influental Hashtag in IndiaSarkarMeTooKarnatakaElectionsKeralaFloodsAadharJusticeForAsifaDeepVeerIPL2018WhistlePoduAsianGames2018Thalapathy Sarkar in First placepictwittercomqpVouegung,0,0
AdityaBagaskoroLudji,@adityaludji,It is an honor for me to work with all of you to serve this Country thank you for making Ecu Worldwide an official logistic partner for the 2018 Asian Games   asiangames2018 httpswwwinstagramcompBq9PhJ3HQE5utmsourceigtwittershareigshidj4z60favondf,0,0
Firstpost SportsVerified account,@FirstpostSports,With 36yearold SharathKamal and the younger GSathiyan achieving their careerbest rankings the year has gotten better for Indian table tennisIn a pathbreaking year India won an unprecedented two bronze medals in the AsianGames2018 httpswwwfirstpostcomsportsveteransharathkamalbreaksintoittfrankingstop30gnanasekaransathiyanreachescareerhigh315664461html,0,0
SportsNow India,@SportsNowIndia,Hima Das is an absolute inspiration to everyone that nothing can stop a determined person olympics tokyo2020 athletes athletics running relay asiangames2018 jakarta worldchampionships winner bestofluck allthebestpictwittercomGsphR11lzI,0,0
K League United,@KLeagueUnited,After a stellar year in the WorldCup and AsianGames2018 its no surprise daegufc2002s Cho Hyunwoo walked away with  of the vote and the KLeague 1 Golden GlovepictwittercomaObXqHQN5J,0,0
Aryan,@heyiamaryan,CRLWorlds the BIG FINALS One thing I do wanna point out is LegendCr266 placed 3rd in AsianGames2018 so to say he hasnt played on a big stage is wrong Hes a beast of 3M player pictwittercomYLZlxo7Va0,0,0
DSport,@DSportINLive,Sportsfacts2018 Did you know in the Asia Games 2018 India equalled the 15gold tally of the 1951 inaugural Games but the country had never won 24 silvers before AsianGames2018 pictwittercomxDVznZvUWE,0,0
Kinjal Amin Desai,@kinjal_jaydesai,Today at Gujarat Universit  we Felicitated Mr Aniket Patel who represented India in Soft Tennis Sports in ASIAN Games 2018 We wish him the best for his upcoming sports journeyAsianGames2018GujaratUniversitypictwittercomP6uoSwGof8,0,0
Sun Yang International Fans,@SunYangIntlFans,Nov 30 2018 Sun Yang is named as Best Man Athlete of the Pacific Rim in 2018 Congrats You deserve it most  Below is his Weibo update todaySunYang   AsianGames2018 AsianGamespictwittercom62Pyg7xqhG,0,0
K League United,@KLeagueUnited,In the same year that he won AsianGames2018 Gold and made his KOR debut BusaniparkFCs Kim Moonhwan also picked up  of the vote and is your KLeague 2 Defender of the YearpictwittercomFZSJjsvKIC,0,0
panceg dina galur,@SydSalesman,that lucky asiangames2018 opening video kid  pictwittercomnrdrll7QtZ,0,0
Rahul Bhutani,@BhutaniRahul,Prajnesh Gunneswaran has been the story on IndianTennis in 2018 A bronze in AsianGames2018 coupled with the remarkable consistency on ATP circuit that propelled him to career high of 104 in the rankings to be released on Monday made for a memorable 2018,0,0
G Rajaraman,@g_rajaraman,Found this when sifting through some folders rahuldpawar walking up to Neerajchopra1 to hand over the Tricolour after the javelin throw competition in the AsianGames2018 in Jakarta MemoriespictwittercomRrUBS0qMtB,0,0
Sonal GoelVerified account,@sonalgoelias,Thanks to FOKSI Indonesia Kabaddi Federation for the warm gesture of recognising the efforts of District administration Jhajjar for support to Indonesia Kabaddi Team during their visit to District Jhajjar Haryana Memories AsianGames2018 pictwittercombrO46XH1ZY,2,0
ABSCBN SportsVerified account,@abscbnsports,For AsianGames2018 gold medalist Margielyn Didal Family is Love Catch the ABSCBN Christmas Station ID this Nov 18 on ASAPOFFICIAL   httpbitly2FpObkMpictwittercom2RsxDfLFg6,0,0
Firstpost SportsVerified account,@FirstpostSports,I havent celebrated much when I have scored a point this season I dont do my trademark frog jump anymore Im just unable to forget what happenedIndia kabaddi captain Ajay Thakur talks to KasualShukla about the teams AsianGames2018 debaclehttpswwwfirstpostcomsportsihavelostthejoyofplayingkabaddicaptainajaythakuropensuponscarsleftbehindbyindiasasiangamesdebacle5545551html,0,0
SPN SportsVerified account,@SPNSportsIndia,Only male Indian in the top ten AsianGames2018 Gold Medalist 65kg category WORLD NO 1 BajrangPunia you are a legend SPNSportspictwittercomoIfdEqBiBK,0,0
SportstarVerified account,@sportstarweb,Asian Games gold medallist Swapna Barman SwapnaBarman96 will receive seven pairs of customised shoes one each for the different events of Heptathlon sports giant Adidas announced on MondayAsianGames2018httpswwwsportstarlivecomathleticsadidastoprovideasiangamesgoldmedallistswapnabarmansevenpairsofcustomisedfootweararticle25428720ece,0,0
Hockey World Cup 2018  Host PartnerVerified account,@sports_odisha,Arjuna Awardee Wrestler BajrangPunia has won Gold in CWG2018  AsianGames2018 this year The star Wrestler expresses his enthusiasm for being part of the EkamraSportsLitFest on 3rd November in Bhubaneswarekamrasportslit Odisha2018pictwittercom5PsmPGlGp1,0,0
The DragFlick,@thedragflick,HeroACT2018 2016  Present Lets take a look at how MAS  JPN have performedAzlanShah2016 4th 7thACT2016 3rd 6thAzlanShah2017 5th 6thHWLSF2017 4th London 10th JohannesburgAsiaCup2017 2nd 5thasiangames2018 2nd 1st  pictwittercomCZRYnQUXiV,0,0
RapplerVerified account,@rapplerdotcom,In the Philippines skateboarding has not received as much attention as other sports But Margielyn Didals golden performance in the AsianGames2018 has given hope to the skateboarding community in Cebu When we heard the news that Margie bagged gol httpswwwrapplercommoveph213645videocebuskateboardersfightingforplacepracticeutmmediumSocialutmsourceTwitterEchobox1540613879,0,0
HeartBeatsForHockey,@HeartBts4Hockey,The Indian hockey team is going to face Malaysia in their fourth match of HeroACT2018 After the dominating 9 goal victory over Japan the team will look for a retribution against Malaysia for the AsianGames2018 lossHeartBeatsForHockey AbBasHockey IndiaKaGame IndianHockeypictwittercomUSQBuA1oID,0,0
AAPVerified account,@AamAadmiParty,Delhi CM ArvindKejriwal felicitates AsianGames2018 silver medalist Aman Saini Our these shining stars made India proud at international level We are proud of our Heroes JaiHind pictwittercom9EeqWBArUt,0,0
Shams Aalam,@IamShamsAalam,We may not achieve everything that we dream about but we cant achieve anything unless we dreamshamsaalam becauseweexist ParaInspirasi AsianParaGames2018 selfiesaturday Jakarta Indonesia AsianGames2018 wushu rayban beard smileasianpg2018 Paraswimmingpictwittercom7X2uCZWaQd,1,0
Express SportsVerified account,@IExpressSports,AsianChampionsTrophy For coach Harendra Singh this will be an opportunity to show that the AsianGames2018 was just a blip as far as Indias continental superiority goesmihirsv reportshttpsindianexpresscomarticlesportshockeyindiahockeyasianchampionstrophyworldcup5406581,0,0
Lt Gen Gyan Bhushan,@bhushan_gyan,COAS and VCOAS with  IndianArmy Para Athletes who participated and brought laurels to the country in AsianGames2018 compliment their efforts to excel is legendary  proud of their achievement pictwittercomYfAJeMTlOc,0,0
